hotel,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date
City Hotel,198,2017,August,32,11,0,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16,NULL,0,Transient,80.1,0,0,Check-Out,13/8/2017
City Hotel,198,2017,August,32,11,0,2,2,0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,16,NULL,0,Transient,80.1,0,0,Check-Out,13/8/2017
City Hotel,80,2017,August,32,6,2,5,3,0,0,BB,ROU,Online TA,TA/TO,0,0,0,E,E,1,No Deposit,9,NULL,0,Transient,237.71,0,0,Check-Out,13/8/2017
City Hotel,135,2017,August,32,10,0,3,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,13/8/2017
City Hotel,163,2017,August,32,10,0,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,2,Check-Out,13/8/2017
City Hotel,190,2017,August,32,7,1,5,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,139.5,0,0,Check-Out,13/8/2017
City Hotel,190,2017,August,32,7,1,5,3,0,0,BB,DEU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,175.5,0,0,Check-Out,13/8/2017
City Hotel,144,2017,August,32,10,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,13/8/2017
City Hotel,199,2017,August,32,6,2,5,3,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,183.21,0,2,Check-Out,13/8/2017
City Hotel,18,2017,August,32,10,0,3,2,0,0,BB,CN,Direct,Direct,0,0,0,A,A,0,No Deposit,14,NULL,0,Transient,140.8,0,2,Check-Out,13/8/2017
City Hotel,144,2017,August,32,10,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,13/8/2017
City Hotel,144,2017,August,32,10,0,3,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,121.5,0,1,Check-Out,13/8/2017
City Hotel,144,2017,August,32,10,0,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,130.5,0,1,Check-Out,13/8/2017
City Hotel,1,2017,August,32,12,0,1,3,0,0,BB,FRA,Direct,Direct,0,0,0,D,D,0,No Deposit,14,NULL,0,Transient,240,0,2,Check-Out,13/8/2017
City Hotel,112,2017,August,32,10,0,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,0,Check-Out,13/8/2017
City Hotel,132,2017,August,32,7,1,5,2,0,1,SC,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,125,0,3,Check-Out,13/8/2017
City Hotel,42,2017,August,32,10,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,F,F,1,No Deposit,9,NULL,0,Transient,250,0,1,Check-Out,13/8/2017
City Hotel,308,2017,August,32,7,1,5,2,0,0,SC,FRA,Online TA,TA/TO,0,0,0,A,K,0,No Deposit,9,NULL,0,Transient-Party,98.1,0,1,Check-Out,13/8/2017
City Hotel,0,2017,August,33,14,0,0,2,0,0,BB,PRT,Direct,Direct,1,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,0,0,0,Check-Out,14/8/2017
City Hotel,87,2017,August,32,9,1,4,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,A,0,No Deposit,9,NULL,0,Transient,155,0,0,Check-Out,14/8/2017
City Hotel,135,2017,August,32,7,2,5,3,0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,189.43,0,2,Check-Out,14/8/2017
City Hotel,177,2017,August,32,10,1,3,2,0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8,NULL,0,Transient,112.5,0,0,Check-Out,14/8/2017
City Hotel,280,2017,August,32,8,1,5,2,0,0,SC,LUX,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,89.1,0,2,Check-Out,14/8/2017
City Hotel,31,2017,August,33,13,1,0,2,1,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,1,No Deposit,9,NULL,0,Transient,200,0,3,Check-Out,14/8/2017
City Hotel,195,2017,August,32,11,1,2,2,0,0,SC,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,52,NULL,0,Transient,80.1,0,0,Check-Out,14/8/2017
City Hotel,22,2017,August,32,10,1,3,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9,NULL,0,Transient,180,0,2,Check-Out,14/8/2017
City Hotel,117,2017,August,32,12,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,164,0,1,Check-Out,14/8/2017
City Hotel,117,2017,August,32,12,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,14/8/2017
City Hotel,117,2017,August,32,12,1,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9,NULL,0,Transient,155,0,1,Check-Out,14/8/2017
City Hotel,0,2017,August,33,13,1,0,3,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient,139,0,0,Check-Out,14/8/2017
City Hotel,309,2017,August,32,7,2,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,141.3,0,1,Check-Out,14/8/2017
City Hotel,204,2017,August,32,7,2,5,2,0,0,SC,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,112.5,0,1,Check-Out,14/8/2017
City Hotel,156,2017,August,32,11,1,2,2,1,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,157.5,0,2,Check-Out,14/8/2017
